true,pred,prob
2,2,"[0.000733793422114104, 0.05994968116283417, 0.9393165707588196]"
0,0,"[0.9942979216575623, 0.0016212536720559, 0.004080852959305048]"
1,1,"[1.057317705610572e-10, 1.0, 1.4196510633723847e-10]"
1,0,"[0.6165801882743835, 0.3727266192436218, 0.010693196207284927]"
1,1,"[8.490319558518422e-09, 1.0, 1.0646059145358322e-08]"
2,2,"[0.03428502380847931, 0.00027442711871117353, 0.965440571308136]"
0,0,"[0.9952719807624817, 0.004276920109987259, 0.0004511111183091998]"
2,2,"[0.07254594564437866, 5.717755630030297e-05, 0.9273968935012817]"
1,1,"[2.0922456822614066e-10, 1.0, 4.201428183137068e-08]"
2,2,"[0.0005799101199954748, 0.017156383022665977, 0.9822637438774109]"
0,0,"[0.9281522035598755, 0.002720477059483528, 0.06912732124328613]"
2,2,"[0.021141082048416138, 0.0010803596815094352, 0.9777784943580627]"
0,2,"[0.18210390210151672, 0.07396712154150009, 0.7439289093017578]"
2,2,"[0.08128640800714493, 0.00033962566521950066, 0.9183740019798279]"
0,0,"[0.9330503940582275, 0.0005293424474075437, 0.0664202943444252]"
2,2,"[0.02637987770140171, 0.07447317987680435, 0.8991469144821167]"
1,1,"[2.1487207568782196e-09, 1.0, 1.1175369518667821e-09]"
1,1,"[0.441780149936676, 0.5485454201698303, 0.009674402885138988]"
0,0,"[0.9959297776222229, 0.004053882788866758, 1.6403662812081166e-05]"
0,0,"[0.9976838827133179, 0.001864470774307847, 0.0004515652544796467]"
0,2,"[0.3134579658508301, 0.0006615019519813359, 0.6858805418014526]"
1,1,"[0.06124763563275337, 0.9090833067893982, 0.029669107869267464]"
1,1,"[0.014506667852401733, 0.9088843464851379, 0.07660901546478271]"
0,0,"[0.7811697721481323, 0.0007491990691050887, 0.2180810123682022]"
1,1,"[3.862974153889809e-07, 0.9999996423721313, 8.853449928476059e-14]"
2,2,"[0.021577244624495506, 0.0002560257271397859, 0.9781666994094849]"
1,1,"[3.278811345808208e-05, 0.9999672174453735, 3.729653919037901e-09]"
0,0,"[0.9982940554618835, 0.0013672896893694997, 0.00033869154867716134]"
1,1,"[6.365000615460303e-08, 0.9999998807907104, 1.8543957602118466e-12]"
0,2,"[0.3707790672779083, 0.00031319799018092453, 0.6289076805114746]"
