true,pred,prob,path
2,2,"[0.0035895351320505142, 0.2061736285686493, 0.7902368307113647]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/125.hdf5
0,0,"[0.8077582120895386, 0.1054954081773758, 0.08674636483192444]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3902.hdf5
1,1,"[0.03176292032003403, 0.9681708812713623, 6.62232851027511e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2072.hdf5
1,1,"[0.20184525847434998, 0.7938244342803955, 0.004330320283770561]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5488.hdf5
1,1,"[0.06871835142374039, 0.9309594035148621, 0.0003222824598196894]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2194.hdf5
2,2,"[0.019852112978696823, 0.020134910941123962, 0.9600129723548889]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1163.hdf5
0,0,"[0.62885582447052, 0.3474304974079132, 0.023713650181889534]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3862.hdf5
2,2,"[0.32011696696281433, 0.03678863123059273, 0.6430943608283997]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/238.hdf5
1,1,"[0.22978754341602325, 0.762909471988678, 0.0073029580526053905]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1948.hdf5
2,2,"[0.002426855033263564, 0.2016725093126297, 0.7959006428718567]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/333.hdf5
0,0,"[0.7647764682769775, 0.12237008661031723, 0.11285337805747986]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3665.hdf5
2,2,"[0.04328671470284462, 0.0245340745896101, 0.9321792125701904]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1047.hdf5
