true,pred,prob
2,2,"[0.0014558975817635655, 0.013058089651167393, 0.9854860305786133]"
0,0,"[0.9246198534965515, 0.040134280920028687, 0.03524591028690338]"
1,1,"[0.0009385725134052336, 0.9990229606628418, 3.84846243832726e-05]"
1,1,"[0.36449766159057617, 0.43881580233573914, 0.19668659567832947]"
1,1,"[0.0005186186172068119, 0.9994677901268005, 1.3578901416622102e-05]"
2,2,"[0.12958025932312012, 0.02875562384724617, 0.8416640758514404]"
0,0,"[0.900347113609314, 0.09669412672519684, 0.002958783181384206]"
2,2,"[0.04452073201537132, 0.09203991293907166, 0.8634393811225891]"
1,1,"[0.000430478248745203, 0.9991052746772766, 0.0004642324347514659]"
2,2,"[0.02906564064323902, 0.09434181451797485, 0.8765925168991089]"
0,0,"[0.5121932029724121, 0.12165214121341705, 0.36615464091300964]"
2,2,"[0.09276221692562103, 0.06899472326040268, 0.8382430076599121]"
0,0,"[0.7321329116821289, 0.1808929741382599, 0.08697409927845001]"
2,2,"[0.439507395029068, 0.08047646284103394, 0.48001617193222046]"
0,0,"[0.8991050720214844, 0.01619970239698887, 0.08469532430171967]"
2,1,"[0.09041804075241089, 0.6717740893363953, 0.23780785501003265]"
1,1,"[0.0008838981157168746, 0.998893678188324, 0.00022249134781304747]"
1,1,"[0.002850305987522006, 0.9970734119415283, 7.622897828696296e-05]"
0,0,"[0.9867201447486877, 0.013042652979493141, 0.0002372820017626509]"
0,0,"[0.9023173451423645, 0.06035288795828819, 0.037329744547605515]"
0,2,"[0.09971485286951065, 0.034524206072092056, 0.8657609224319458]"
1,1,"[0.28536689281463623, 0.42057591676712036, 0.294057160615921]"
1,2,"[0.0011335845338180661, 0.01123280543833971, 0.9876337051391602]"
0,0,"[0.9467005729675293, 0.04077828675508499, 0.012521140277385712]"
1,1,"[0.024420326575636864, 0.9755637049674988, 1.5933932445477694e-05]"
2,2,"[0.0938519835472107, 0.03264174237847328, 0.8735062479972839]"
1,1,"[0.00871831551194191, 0.9911983609199524, 8.325189992319793e-05]"
0,0,"[0.9888930916786194, 0.010067176073789597, 0.0010397023288533092]"
1,1,"[0.006800587754696608, 0.9931938052177429, 5.606368631561054e-06]"
0,2,"[0.32658490538597107, 0.04495377466082573, 0.6284613609313965]"
0,0,"[0.6051021814346313, 0.1007286012172699, 0.2941693067550659]"
0,0,"[0.9878240823745728, 0.012030613608658314, 0.0001453255390515551]"
0,0,"[0.990607500076294, 0.007550625596195459, 0.0018418997060507536]"
0,0,"[0.7119960188865662, 0.28470075130462646, 0.0033032353967428207]"
2,0,"[0.5008538961410522, 0.101119264960289, 0.39802682399749756]"
1,1,"[0.0030799778178334236, 0.9966484904289246, 0.0002715627779252827]"
0,1,"[0.37268584966659546, 0.6267797350883484, 0.0005344267701730132]"
0,0,"[0.9761487245559692, 0.023670673370361328, 0.00018060661386698484]"
1,1,"[0.002031603828072548, 0.9979378581047058, 3.0477032851194963e-05]"
1,1,"[0.10739785432815552, 0.7962983250617981, 0.0963037833571434]"
0,0,"[0.6932159066200256, 0.0823826789855957, 0.22440144419670105]"
0,0,"[0.8183838725090027, 0.041876938194036484, 0.13973914086818695]"
1,1,"[0.010311692021787167, 0.9896071553230286, 8.115387754514813e-05]"
1,1,"[0.06000224128365517, 0.9399890303611755, 8.680729479237925e-06]"
2,0,"[0.5746756792068481, 0.17648710310459137, 0.24883721768856049]"
2,2,"[0.010679547674953938, 0.024206368252635002, 0.9651139974594116]"
0,0,"[0.49718785285949707, 0.4552372992038727, 0.04757481440901756]"
2,0,"[0.8267555832862854, 0.01686704158782959, 0.15637731552124023]"
1,1,"[0.00043986161472275853, 0.9991051554679871, 0.00045498006511479616]"
0,0,"[0.49991247057914734, 0.06496845185756683, 0.435119092464447]"
2,2,"[0.4547339379787445, 0.03700549155473709, 0.5082605481147766]"
1,2,"[0.02567145600914955, 0.06919126212596893, 0.905137300491333]"
0,0,"[0.9964017868041992, 0.003576464019715786, 2.1760746676591225e-05]"
2,2,"[0.0578269325196743, 0.23876728117465973, 0.7034057974815369]"
1,1,"[0.0015131267718970776, 0.9981811046600342, 0.00030580535531044006]"
0,0,"[0.7417200803756714, 0.02873026393353939, 0.22954966127872467]"
0,0,"[0.9984778761863708, 0.001516610267572105, 5.507387868419755e-06]"
0,0,"[0.692280650138855, 0.2661447525024414, 0.04157456010580063]"
0,0,"[0.9189165234565735, 0.08051242679357529, 0.0005710872355848551]"
2,1,"[0.09293258935213089, 0.7201501131057739, 0.1869172602891922]"
1,1,"[0.005628563929349184, 0.9941588640213013, 0.00021256852778606117]"
2,2,"[0.07768954336643219, 0.25734490156173706, 0.6649656295776367]"
2,2,"[0.0004868034739047289, 0.015032568015158176, 0.984480619430542]"
0,0,"[0.5291609764099121, 0.01401633583009243, 0.4568226933479309]"
0,0,"[0.8218039870262146, 0.11800186336040497, 0.06019410863518715]"
1,1,"[0.028612956404685974, 0.9713578820228577, 2.9180193450883962e-05]"
1,1,"[0.00025416226708330214, 0.9997164607048035, 2.9312834158190526e-05]"
1,1,"[0.0004934619646519423, 0.9989939332008362, 0.0005126521573401988]"
