true,pred,prob,path
2,2,"[0.004300020635128021, 0.12063568830490112, 0.8750643134117126]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/125.hdf5
0,0,"[0.9978393316268921, 0.00023799797054380178, 0.0019226197618991137]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3902.hdf5
1,1,"[1.7919090566920204e-07, 0.9999997615814209, 5.188604745853809e-08]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2072.hdf5
1,1,"[0.4769546091556549, 0.5213518738746643, 0.001693545375019312]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5488.hdf5
1,1,"[3.0797411909588845e-06, 0.9999954700469971, 1.508899913460482e-06]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2194.hdf5
2,2,"[0.005915434565395117, 1.1169489880558103e-05, 0.9940734505653381]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1163.hdf5
0,0,"[0.9998921155929565, 3.41685299645178e-05, 7.362658652709797e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3862.hdf5
2,2,"[0.08700638264417648, 0.0005030246102251112, 0.9124906659126282]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/238.hdf5
1,1,"[3.4472481047487236e-07, 0.9998908042907715, 0.00010889324767049402]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1948.hdf5
2,2,"[0.0003444165631663054, 0.005820203572511673, 0.99383544921875]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/333.hdf5
0,0,"[0.9209515452384949, 0.0016426310176029801, 0.07740584760904312]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3665.hdf5
2,2,"[0.11136527359485626, 0.0007553601171821356, 0.8878793120384216]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1047.hdf5
0,2,"[0.18492542207241058, 0.05344396084547043, 0.7616307139396667]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4161.hdf5
2,2,"[0.0661100447177887, 5.611352025880478e-05, 0.9338338375091553]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/995.hdf5
0,0,"[0.7582901120185852, 0.0009429591591469944, 0.24076686799526215]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3966.hdf5
2,2,"[0.005041635595262051, 0.02620619162917137, 0.9687522649765015]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/499.hdf5
1,1,"[1.2125482271585497e-06, 0.9999982118606567, 5.452144478113041e-07]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1905.hdf5
1,1,"[0.1537424474954605, 0.8134928941726685, 0.03276461735367775]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2625.hdf5
0,0,"[0.9996311664581299, 0.0003194343880750239, 4.9382080760551617e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3925.hdf5
0,0,"[0.9997790455818176, 5.166597475181334e-05, 0.00016925715317483991]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3385.hdf5
0,2,"[0.25609326362609863, 0.0007603492122143507, 0.7431463599205017]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3041.hdf5
1,1,"[0.0289288517087698, 0.9706831574440002, 0.00038801890332251787]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5504.hdf5
