true,pred,prob,path
2,2,"[0.003788054222241044, 0.21061354875564575, 0.7855983972549438]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/125.hdf5
0,0,"[0.7103675603866577, 0.06615854054689407, 0.2234739065170288]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3902.hdf5
1,1,"[0.0028447764925658703, 0.9971427321434021, 1.2500297998485621e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2072.hdf5
1,1,"[0.23819267749786377, 0.6319292187690735, 0.12987808883190155]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5488.hdf5
1,1,"[0.006406669970601797, 0.9935382008552551, 5.513447831617668e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2194.hdf5
2,0,"[0.6507951617240906, 0.10120639204978943, 0.2479984313249588]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1163.hdf5
0,0,"[0.8440864682197571, 0.018351463600993156, 0.13756205141544342]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3862.hdf5
2,0,"[0.39521029591560364, 0.2969111204147339, 0.3078785836696625]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/238.hdf5
1,1,"[0.00756070576608181, 0.9923629760742188, 7.633661880390719e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1948.hdf5
2,2,"[0.0037876483984291553, 0.2106107920408249, 0.7856015563011169]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/333.hdf5
0,0,"[0.6625788807868958, 0.09419697523117065, 0.24322408437728882]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3665.hdf5
2,0,"[0.392530620098114, 0.29745206236839294, 0.31001731753349304]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1047.hdf5
0,0,"[0.6161503195762634, 0.12220442295074463, 0.26164528727531433]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4161.hdf5
2,0,"[0.5909914970397949, 0.1373658925294876, 0.2716425657272339]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/995.hdf5
0,0,"[0.7254897356033325, 0.058824751526117325, 0.21568547189235687]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3966.hdf5
2,2,"[0.003786617424339056, 0.21060390770435333, 0.7856094241142273]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/499.hdf5
1,1,"[0.0028319014236330986, 0.997156023979187, 1.2103173503419384e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1905.hdf5
1,0,"[0.37457576394081116, 0.32424694299697876, 0.3011772930622101]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2625.hdf5
0,0,"[0.8230505585670471, 0.0238157007843256, 0.15313369035720825]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3925.hdf5
0,0,"[0.8550844788551331, 0.015865789726376534, 0.1290496289730072]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3385.hdf5
0,0,"[0.6957173347473145, 0.07433118671178818, 0.22995150089263916]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3041.hdf5
1,1,"[0.3071589171886444, 0.5394886136054993, 0.15335242450237274]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5504.hdf5
1,2,"[0.0037886123172938824, 0.21061675250530243, 0.785594642162323]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2635.hdf5
0,0,"[0.6938430070877075, 0.0757380872964859, 0.230418860912323]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3176.hdf5
1,1,"[0.018606534227728844, 0.9811773300170898, 0.00021615056903101504]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1421.hdf5
2,0,"[0.6110201478004456, 0.1251073032617569, 0.26387256383895874]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/999.hdf5
1,1,"[0.023755280300974846, 0.9757471084594727, 0.0004976278869435191]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2316.hdf5
0,0,"[0.83464115858078, 0.02091050148010254, 0.14444836974143982]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4018.hdf5
1,1,"[0.00262804189696908, 0.9973638653755188, 8.04944102128502e-06]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2279.hdf5
0,0,"[0.6708072423934937, 0.08921319246292114, 0.2399795800447464]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/2994.hdf5
0,0,"[0.7620688080787659, 0.04353711009025574, 0.19439411163330078]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4116.hdf5
0,0,"[0.7840882539749146, 0.03611413389444351, 0.17979761958122253]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4303.hdf5
0,0,"[0.8769051432609558, 0.011389188468456268, 0.11170558631420135]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4042.hdf5
0,0,"[0.8216438293457031, 0.02421465516090393, 0.15414151549339294]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3447.hdf5
2,0,"[0.46111854910850525, 0.2300555557012558, 0.30882585048675537]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1113.hdf5
1,1,"[0.02638181671500206, 0.9730302691459656, 0.0005879180389456451]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1404.hdf5
0,0,"[0.8159838914871216, 0.025847675278782845, 0.15816844999790192]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3463.hdf5
0,0,"[0.8505591154098511, 0.01712235063314438, 0.1323184370994568]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4284.hdf5
1,1,"[0.00830813031643629, 0.9915974736213684, 9.441102156415582e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2034.hdf5
1,1,"[0.2506253719329834, 0.5618394613265991, 0.18753521144390106]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5467.hdf5
0,0,"[0.6802248358726501, 0.08298791199922562, 0.23678727447986603]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3713.hdf5
0,0,"[0.7669104337692261, 0.041706185787916183, 0.19138343632221222]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4036.hdf5
1,1,"[0.011695303954184055, 0.988166332244873, 0.00013836084690410644]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1434.hdf5
