true,pred,prob,path
2,0,"[0.9973813891410828, 0.0016021819319576025, 0.0010164997074753046]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/125.hdf5
0,0,"[0.8504177927970886, 0.038137659430503845, 0.11144447326660156]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3902.hdf5
1,1,"[4.153329882683465e-06, 0.9998507499694824, 0.00014505958824884146]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2072.hdf5
1,0,"[0.6743993759155273, 0.1537843495607376, 0.17181628942489624]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5488.hdf5
1,1,"[2.144393693015445e-05, 0.9996949434280396, 0.000283691129880026]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2194.hdf5
2,2,"[0.15198923647403717, 0.008504544384777546, 0.839506208896637]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1163.hdf5
0,0,"[0.9949172735214233, 0.004794352687895298, 0.0002884877030737698]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3862.hdf5
2,0,"[0.6540204286575317, 0.05293455719947815, 0.2930450439453125]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/238.hdf5
1,1,"[6.735659098922042e-06, 0.997485876083374, 0.0025074267759919167]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1948.hdf5
2,0,"[0.9920670986175537, 0.001843953155912459, 0.006088938098400831]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/333.hdf5
0,2,"[0.4425073564052582, 0.03771103546023369, 0.5197816491127014]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3665.hdf5
2,2,"[0.17946293950080872, 0.011564339511096478, 0.8089727163314819]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1047.hdf5
0,2,"[0.20075903832912445, 0.04014964401721954, 0.759091317653656]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4161.hdf5
2,2,"[0.2704187333583832, 0.002288026735186577, 0.7272933125495911]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/995.hdf5
0,0,"[0.5415655970573425, 0.013099548406898975, 0.44533485174179077]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3966.hdf5
2,0,"[0.9987972974777222, 0.0006747872685082257, 0.000527989468537271]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/499.hdf5
1,1,"[4.8783194870338775e-06, 0.9995855689048767, 0.0004096158663742244]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1905.hdf5
1,0,"[0.6028683185577393, 0.3901849091053009, 0.006946757901459932]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2625.hdf5
0,0,"[0.9855455756187439, 0.004551680292934179, 0.009902773424983025]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3925.hdf5
0,0,"[0.9375230073928833, 0.015649346634745598, 0.04682759940624237]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3385.hdf5
0,0,"[0.9796035885810852, 0.0012264578836038709, 0.019170058891177177]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3041.hdf5
1,2,"[0.2986147403717041, 0.19492872059345245, 0.5064564943313599]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5504.hdf5
1,0,"[0.9873462319374084, 0.01264262292534113, 1.113584585255012e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2635.hdf5
0,0,"[0.7469497919082642, 0.013864549808204174, 0.23918560147285461]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3176.hdf5
1,1,"[4.4885941861139145e-06, 0.9999786615371704, 1.6908112229430117e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1421.hdf5
2,2,"[0.22415371239185333, 0.014768216758966446, 0.7610780596733093]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/999.hdf5
1,1,"[0.0002741504868026823, 0.9995455145835876, 0.00018033612286671996]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2316.hdf5
0,0,"[0.930469810962677, 0.014023416675627232, 0.05550677701830864]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4018.hdf5
1,1,"[1.434333262295695e-05, 0.9999486207962036, 3.699019362102263e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2279.hdf5
0,0,"[0.8190693259239197, 0.0021654258016496897, 0.17876531183719635]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/2994.hdf5
0,0,"[0.6106318831443787, 0.02478758431971073, 0.3645804524421692]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4116.hdf5
0,0,"[0.985225260257721, 0.013288413174450397, 0.001486313296481967]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4303.hdf5
0,0,"[0.9521841406822205, 0.02345314808189869, 0.024362675845623016]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4042.hdf5
0,0,"[0.9555076360702515, 0.01843922585248947, 0.02605307847261429]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3447.hdf5
2,0,"[0.5420409440994263, 0.006528815254569054, 0.45143020153045654]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1113.hdf5
1,1,"[0.0001245815510628745, 0.9980126619338989, 0.0018627530662342906]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1404.hdf5
0,0,"[0.9822675585746765, 0.017370175570249557, 0.00036227746750228107]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3463.hdf5
0,0,"[0.9850655198097229, 0.013973389752209187, 0.0009611315908841789]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4284.hdf5
1,1,"[9.652280823502224e-06, 0.9995896220207214, 0.0004007579118479043]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2034.hdf5
1,2,"[0.2823295593261719, 0.33947134017944336, 0.3781990706920624]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5467.hdf5
0,2,"[0.4762815833091736, 0.0219554640352726, 0.5017629265785217]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3713.hdf5
0,0,"[0.7036789655685425, 0.025230158120393753, 0.27109089493751526]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4036.hdf5
1,1,"[4.424302824190818e-05, 0.9997438788414001, 0.00021190366533119231]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1434.hdf5
1,1,"[0.009543078951537609, 0.9902666211128235, 0.00019026566587854177]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2256.hdf5
2,2,"[0.18994256854057312, 0.024785520508885384, 0.785271942615509]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/991.hdf5
2,2,"[0.21704034507274628, 0.062237828969955444, 0.7207219004631042]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/984.hdf5
0,0,"[0.9601503610610962, 0.013102244585752487, 0.026747385039925575]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3605.hdf5
2,0,"[0.6636449098587036, 0.009328729473054409, 0.3270263075828552]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/954.hdf5
1,1,"[7.592474958073581e-06, 0.999228835105896, 0.0007635982474312186]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1713.hdf5
0,0,"[0.9595959186553955, 0.0023781161289662123, 0.03802601993083954]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3042.hdf5
