true,pred,prob,path
2,2,"[0.0011823674431070685, 0.07461842894554138, 0.9241992235183716]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/125.hdf5
0,0,"[0.983384370803833, 0.008608624339103699, 0.008006978780031204]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3902.hdf5
1,1,"[0.001237862859852612, 0.9987090826034546, 5.304386286297813e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2072.hdf5
1,0,"[0.5202796459197998, 0.4768652617931366, 0.0028550601564347744]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/5488.hdf5
1,1,"[0.010417480021715164, 0.9894818067550659, 0.00010075627506012097]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/2194.hdf5
2,2,"[0.010334791615605354, 8.793443703325465e-05, 0.9895772933959961]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1163.hdf5
0,0,"[0.9978030323982239, 0.0021029519848525524, 9.400185808772221e-05]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3862.hdf5
2,2,"[0.030173247680068016, 0.0018165195360779762, 0.9680101871490479]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/238.hdf5
1,1,"[0.002899083076044917, 0.9734687209129333, 0.023632176220417023]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/NCP/1948.hdf5
2,2,"[0.0003841510624624789, 0.009889521636068821, 0.9897263646125793]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/333.hdf5
0,0,"[0.8650565147399902, 0.007779107429087162, 0.12716442346572876]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/3665.hdf5
2,2,"[0.02157093770802021, 0.0002340488281333819, 0.9781950116157532]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/Normal/1047.hdf5
0,2,"[0.2474968582391739, 0.056657206267118454, 0.6958459615707397]",/staff/shijun/torch_projects/COVID-19_CLS/dataset/npy_data/CP/4161.hdf5
